iter	RMSE
0	137289.3327
1	127132.2541
2	118192.8871
3	110275.7017
4	103280.6867
5	97167.8955366	91826.1795477	87109.7946188	82945.509959	79448.45136
110	75906.54768111	73071.53271212	70597.72861313	68489.821914	66805.95931
15	65081.68729
16	63406.66932
17	61977.10767
18	60758.50422
19	59638.69566
20	58673.01791
21	57702.58196
22	56767.31352
23	55924.3164
24	55145.25179
2525	54422.108126	53820.86671
2727	53275.83072828	52722.56692929	52137.86130	30	51679.70331	31	51116.27932	32	50655.45133	33	50201.52735
34	49722.98331
35	49322.65365
36	48895.17935
37	48598.24111
38	48202.84676
39	47719.32291
40	47350.23939
41	47052.90291
42	46701.76261
43	46421.3441
44	46143.23144
45	45813.9617
46	45484.30463
47	45173.66449
48	44958.54858
49	44704.47274
50	44426.03837
51	44186.60075
52	43927.08193
53	43575.63789
54	43333.75156
55	43128.72176
56	42928.86341
57	42748.74338
58	42578.64628
59	42337.92008
60	42128.60738
61	41882.89926
62	41625.90769
63	41384.09452
64	41140.20399
65	40990.02661
66	40819.77232
67	40645.58445
68	40439.27808
69	40266.01739
70	40104.89181
71	39912.03041
72	39723.54363
73	39520.92059
74	39334.09358
75	39196.60324
76	39064.64404
77	38934.24926
78	38811.18001
79	38662.53883
80	38554.90943
81	38386.53921
82	38248.40366
83	38133.33157
84	37994.86093
85	37892.49008
86	37736.96366
87	37632.05209
88	37494.28425
89	37371.56394
90	37242.68823
91	37102.5244
92	36972.70619
93	36857.48205
94	36764.36859
95	36678.22508
96	36580.17011
97	36494.4688
98	36369.49668
99	36265.44714
